出表日期,發言日期,發言時間,公司代號,公司名稱,主旨,符合條款,事實發生日,說明
"1150803","1150802","70003","1721","三晃","公告本公司名稱由「三晃股份有限公司」更名為
「國慶科技股份有限公司」
，公告期間：115年07月01日至115年9月30日。","第51款","1150629","1.事實發生日：民國115年06月29日
2.公司名稱：國慶科技股份有限公司(原名：三晃股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月29日
(2)公司名稱變更核准文號：11530099260
(3)更名案股東會決議通過日期：民國115年06月16日
(4)變更前公司名稱：三晃股份有限公司
(5)變更後公司名稱：國慶科技股份有限公司
(6)變更前公司簡稱：三晃
(7)變更後公司簡稱：國慶科技
6.因應措施：無
7.其他應敘明事項：(1)本公司於115/07/01收到經濟部變更登記核准函。
(2)依據臺灣證券交易所股份有限公司營業細則第45條規定，於更名後須連續公告三個月。
(3)本公司股票代號未變動，普通股仍為「1721」。
(4)本公司英文名未更動，仍為「SUNKO INK CO., LTD.」"
"1150803","1150802","70003","3708","上緯投控","公告本公司名稱由「上緯國際投資控股股份有限公司」更名為
「上緯國際控股股份有限公司」，公告期間：115年6月11日至
115年9月10日。","第51款","1150611","1.事實發生日：民國115年06月11日
2.公司名稱：上緯國際控股股份有限公司(原名：上緯國際投資控股股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月11日
(2)公司名稱變更核准文號：經授商字第11530084540號函
(3)更名案股東會決議通過日期：民國115年05月28日
(4)變更前公司名稱：上緯國際投資控股股份有限公司
(5)變更後公司名稱：上緯國際控股股份有限公司
(6)變更前公司簡稱：上緯投控
(7)變更後公司簡稱：上緯控股
6.因應措施：無
7.其他應敘明事項：(1)本公司於115/6/11收到經濟部變更登記核准函。
(2)依據臺灣證券交易所股份有限公司營業細則第45條規定，於更
名後須連續公告三個月。
(3)本公司股票代號未變動，普通股仍為「3708」"
"1150803","1150802","91107","6655","科定","公告本公司115年第二季合併財務報告董事會預
計召開日期為115年08月10日","第31款","1150802","1.董事會召集通知日:115/08/02
2.董事會預計召開日期:115/08/10
3.預計提報董事會或經董事會決議之財務報告或
年度自結財務資訊年季:115年第二季
4.其他應敘明事項:無"
"1150803","1150802","125839","6446","藥華藥","澳門藥物監督管理局已核准BESREMi（Ropeginterferon
alfa-2b）之「進口藥品預先許可」新增適應症，新增適應症
為原發性血小板過多症（ET）","第10款","1150731","1.事實發生日:115/07/31
2.研發新藥名稱或代號:BESREMi（ropeginterferon alfa-2b, 即P1101）
3.用途:
(1)治療接受hydroxyurea治療後有抗藥性或無耐受性的原發性血小板過多症
   成人病人
(2)治療不具症狀性脾腫大之成人真性紅血球增多症病人
4.預計進行之所有研發階段:不適用。
5.目前進行中之研發階段(請說明目前之研發階段係屬提出申請/通過核准/
不通過核准，若未通過者，請說明公司所面臨之風險及因應措施；
另請說明未來經營方向及已投入累積研發費用):
(1)提出申請/通過核准/不通過核准/各期人體試驗(含期中分析)結果/發生其他
   影響新藥研發之重大事件：
   澳門藥物監督管理局已核准本公司新藥BESREMi（ropeginterferon alfa-2b）
   之「進口藥品預先許可」新增適應症，新增適應症為治療接受hydroxyurea
   治療後有抗藥性或無耐受性的原發性血小板過多症成人病人。
(2)未通過目的事業主管機關許可、各期人體臨床試驗(含期中分析)結果未達統計
   上顯著意義或發生其他影響新藥研發之重大事件者，公司所面臨之風險及因應
   措施：不適用。
(3)已通過目的事業主管機關許可、各期人體臨床試驗(含期中分析)結果達統計上
   顯著意義或發生其他影響新藥研發之重大事件者，未來經營方向：
   Besremi（ropeginterferon alfa-2b）將可於澳門依核准之新增適應症上市銷售。
(4)已投入之累積研發費用：
   考量未來市場行銷策略，保障公司及投資人權益，暫不公開揭露。
6.將再進行之下一階段研發(請說明預計完成時間及預計應負擔之義務):
不適用。
(1)預計完成時間：不適用。
(2)預計應負擔之義務：無。
7.市場現況:
原發性血小板過多症（essential thrombocythemia, ET）為骨髓增生性腫瘤
（myeloproliferative neoplasms, MPN）疾病的一種，病人數與真性紅血球
增多症（polycythemia vera, PV）的病人數相近。根據市場研究推估，澳門
約有1000名ET患者，目前ET的第一線用藥是仿單標示外的愛治（Hydroxyurea,
HU），第二線用藥則是安閣靈（Anagrelide），此藥係美國FDA於1997年核准。
8.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第8款所定
對股東權益或證券價格有重大影響之事項):
(1)Ropeginterferon alfa-2b已於2022年9月獲澳門藥物監督管理局核准
  「進口藥品預先許可」，適應症為真性紅血球增多症（PV）。
(2)Ropeginterferon alfa-2b為本公司自行研發生產之新一代創新長效型干擾
   素，至今已獲全球約50個國家核准用於成人真性紅血球增多症患者，包括
   美國、日本、中國及歐盟等主要新藥市場；Ropeginterferon alfa-2b亦已
   獲衛福部核准用於治療接受hydroxyurea治療後有抗藥性或無耐受性的原發
   性血小板過多症成人病人。
9.新藥開發時程長、投入經費高且未保證一定能成功，此等可能使投資面臨風險，投
   資人應審慎判斷謹慎投資。:"
"1150803","1150802","131053","3557","嘉威","115年度第二季財務報告董事會
預計召開日期為115年8月10日","第31款","1150802","1.董事會召集通知日:115/08/02
2.董事會預計召開日期:115/08/10
3.預計提報董事會或經董事會決議之財務報告或
年度自結財務資訊年季:115年度第2季財務報告
4.其他應敘明事項:無"
"1150803","1150802","140442","6235","華孚","新聞稿-華孚115年7月自結合併營收為新台幣5.50億元","第51款","1150802","1.事實發生日:115/08/02
2.公司名稱:華孚科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
華孚科技股份有限公司(股票代碼：6235)今日(115/8/2)公佈115年7月份自結合併
營收為新台幣5.50億元，較6月份的5.38億元增加2.32%；相較於去年同期的5.40億
元增加1.92%。累計合併營收1至7月底初估為37.67億元，較去年同期的36.82億元
增加約2.30%。
6.因應措施:無。
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無。"
"1150803","1150802","141353","3004","豐達科","新聞稿--豐達七月自結合併營收為4.94億元","第51款","1150802","1.事實發生日:115/08/02
2.公司名稱:豐達科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
 豐達科技股份有限公司(股票代碼：3004)今日(2026/08/02)公佈2026年7月份自結
 合併營收。
 2026年7月份自結合併營收為新台幣4.94億元，較2026年6月份4.98億元減少0.65%，
 相較去年同期的3.23億元增加53.03%。
 2026年累計自結合併營收為新台幣30.84億元，相較去年同期的22.46億元增加37.31%。
6.因應措施:無。
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
 無。"
