出表日期,發言日期,發言時間,公司代號,公司名稱,主旨,符合條款,事實發生日,說明
"1150803","1150802","70003","4530","天意能創","公告本公司名稱由「宏易創新國際股份有限公司」
更名為「天意能創股份有限公司」，
公告期間：115年7月09日至115年10月08日。","第53款","1150708","1.事實發生日：民國115年07月08日
2.公司名稱：天意能創股份有限公司(原名：宏易創新國際股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年07月08日
(2)公司名稱變更核准文號：府產業商字第11550721810
(3)更名案股東會決議通過日期：民國115年06月24日
(4)變更前公司名稱：宏易創新國際股份有限公司
(5)變更後公司名稱：天意能創股份有限公司
(6)變更前公司簡稱：宏易
(7)變更後公司簡稱：天意
6.因應措施：無
7.其他應敘明事項：(1)本公司於115年7月09日收到台北市政府變更登記核准函。
(2)依據財團法人中華民國櫃檯買賣中心證券商營業所買賣有價證券業務規則第9-1條規定，於更名後須連續公告三個月。
(3)本公司股票代號未變動，仍為「4530」。"
"1150803","1150802","70003","4747","強生製藥","公告本公司股票面額由「新台幣10元」變更為「新台幣5元」
公告期間：115年7月22日至115年10月21日","第53款","1150624","1.事實發生日：民國115年06月24日
2.公司名稱：強生化學製藥廠股份有限公司
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司面額變更核准日期/事實發生日：民國115年06月24日
(2)公司面額變更核准文號：經授商字第新北府經司字第1158046510號函
(3)董事會決議通過換股計畫書日期：民國115年07月22日
(4)變更前面額：新台幣10.00
(5)變更後面額：新台幣5.00
(6)新股票上市買賣日及舊股票終止上市買賣日：民國115年08月31日
(7)換發股票時程重大訊息公告日期：民國115年07月22日重大訊息公告
6.因應措施：不適用。
7.其他應敘明事項：無。"
"1150803","1150802","70003","4953","緯致","公告本公司名稱由「緯創軟體股份有限公司」
更名為「緯致科技股份有限公司」，
公告期間：115年6月2日至115年9月1日。","第53款","1150601","1.事實發生日：民國115年06月01日
2.公司名稱：緯致科技股份有限公司(原名：緯創軟體股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月01日
(2)公司名稱變更核准文號：經授商字第11530077630號
(3)更名案股東會決議通過日期：民國115年05月27日
(4)變更前公司名稱：緯創軟體股份有限公司
(5)變更後公司名稱：緯致科技股份有限公司
(6)變更前公司簡稱：緯軟
(7)變更後公司簡稱：緯致
6.因應措施：無
7.其他應敘明事項：(1)本公司於115年6月2日收到經濟部變更登記核准函。
(2)依據財團法人中華民國櫃檯買賣中心證券商營業所買賣有價證券業務規則第9-1條規定，於更名後須連續公告三個月。
(3)本公司股票代號未變動，仍為「4953」。"
"1150803","1150802","70003","5904","寶雅","公告本公司股票面額變更由「新台幣10元」變更為「新台幣1元」
公告期間：115年7月2日至115年10月1日","第53款","1150624","1.事實發生日：民國115年06月24日
2.公司名稱：寶雅國際股份有限公司
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司面額變更核准日期/事實發生日：民國115年06月24日
(2)公司面額變更核准文號：經授商字第證櫃監字第1150004034號號函
(3)董事會決議通過換股計畫書日期：民國115年06月29日
(4)變更前面額：新台幣10.00
(5)變更後面額：新台幣1.00
(6)新股票上市買賣日及舊股票終止上市買賣日：民國115年08月10日
(7)換發股票時程重大訊息公告日期：民國115年07月02日重大訊息公告
6.因應措施：不適用
7.其他應敘明事項：一、換發股票時程如下：
(1)舊股票最後交易日：115年7月29日。
(2)舊股票停止交易期間：115年7月30日起至115年8月7日止。
(3)舊股票最後過戶日：115年8月2日。
(4)舊股票停止過戶期間：115年8月3日起至115年8月7日止。
(5)換發股票基準日：115年8月7日。
(6)有價證券換發日：115年8月10日。
(7)新股票上櫃買賣日及舊股票終止上櫃買賣日：115年8月10日。
(8)自新股票上櫃買賣之日起，原上櫃買賣之舊股票不得作為買賣交割之標的；
本次換發之新股票，其權利義務與原發行之舊股票相同。
二、本公司係辦理股票面額變更，每股面額由新台幣10元變更為新台幣1元。
業經財團法人中華民國證券櫃檯買賣中心115年6月24日證櫃監字第1150004034號
函核准在案。
三、配合上述面額變更，新股票上櫃買賣日之參考價將按比例調整為舊股票
最後交易日收盤價之10分之1，請投資人注意。
四、股票面額變更後，財務資料例如:每股盈餘或每股淨值等將有所變動，
建議投資人可利用公開資訊觀測站公布之財務報告及財務比率分析等作為
投資分析指標參考。"
"1150803","1150802","70003","8472","納維康","公告本公司名稱由「夠麻吉股份有限公司」更名為
「納維康生技股份有限公司」，公告期間：115年6月29日
至115年9月28日","第53款","1150629","1.事實發生日：民國115年06月29日
2.公司名稱：納維康生技股份有限公司(原名：夠麻吉股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月29日
(2)公司名稱變更核准文號：經司字第1158046769號
(3)更名案股東會決議通過日期：民國115年05月29日
(4)變更前公司名稱：夠麻吉股份有限公司
(5)變更後公司名稱：納維康生技股份有限公司
(6)變更前公司簡稱：夠麻吉
(7)變更後公司簡稱：納維康
6.因應措施：無
7.其他應敘明事項：(1)本公司於115年6月29日接獲新北市政府115年6月25日之核准函。
(2)本公司股票簡稱變動為「納維康」，股票代號未變動仍為「8472」。
(3)本公司原英文名稱由「GOMAJI Corp., LTD」變更為「Navicare Biotech Co., Ltd.」。
(4)本公司國內第一次私募無擔保轉換公司債債券簡稱變動為「納維康私債一」，債券代號仍為「YCQ5AA」。
(5)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(6)依據「財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務規則」第九條
   之一規定，連續公告三個月。"
"1150803","1150802","94648","4305","世坤","公告115年第二季財務報告董事會召開日期","第31款","1150802","1.董事會召集通知日:115/08/02
2.董事會預計召開日期:115/08/10
3.預計提報董事會或經董事會決議之財務報告或年度自結財務資訊年季:115年第二季
4.其他應敘明事項:無"
"1150803","1150802","191323","4743","合一","本公司「速必一」(ON101) 新藥上市後臨床試驗 (計畫編號:
ON101CLCT06) 解盲，主要療效指標達到統計顯著，安全性良好
，整體達到預期目標。","第10款","1150731","1.事實發生日:115/07/31
2.研發新藥名稱或代號:「速必一」(ON101) 香雷糖足膏
3.用途:
(1)治療糖尿病足部傷口潰瘍
(2)台灣藥品臨床試驗資訊網或合格之國外機構資訊網連結網址:
   https://clinicaltrials.gov/study/NCT06531512
4.預計進行之所有研發階段:滿足台灣與大陸法規單位上市後要求，並於大陸申請擴
 大適應症。
5.目前進行中之研發階段(請說明目前之研發階段係屬提出申請/通過核准/不通過核准
，若未通過者，請說明公司所面臨之風險及因應措施；另請說明未來經營方向及已投
入累積研發費用):
(1)提出申請／通過核准／不通過核准／各期人體臨床試驗(含期中分析)結果／發生
   其他影響新藥研發之重大事件：
   (A)臨床試驗設計介紹
     a.試驗計畫名稱: 一項II/III期操作無縫設計、隨機、雙盲、平行組、輔料對照
       的研究，以評估香雷糖足膏治療糖尿病足部傷口潰瘍Wagner II級的有效性和
       安全性
     b.試驗目的:評估用於治療Wagner II級糖尿病足部傷口潰瘍的療效
     c.試驗階段分級: II/III期臨床試驗
     d.藥品名稱:「速必一」(ON101)香雷糖足膏
     e.宣稱適應症: 糖尿病足部傷口潰瘍
     f.評估指標:
       主要評估指標:16週治療期內，糖尿病足部目標潰瘍達到完全癒合的受試者比
       率
     g.試驗計畫受試者收納人數: 120人
   (B)主要及次要評估指標之統計結果
      本試驗共納入120人 「速必一」(ON101)組61人；輔料對照組59人。試驗分析結
      果顯示，ON101組之療效顯著優於對照組；於8項困難癒合次族群敏感性分析，
      ON101組療效均顯著優於對照組。
      經評估兩組間基線資料的均衡性、缺失資料對主要療效的影響、不良事件發生
      率等結果，皆顯示ON101具有顯著臨床效益，安全性良好且符合預期。
      主要療效指標：
      16週治療期內，由研究者評估目標潰瘍達到完全癒合的受試者比率(ITT)。
      ON101組之完全癒合率為76.3%，輔料對照組為44.9% (P=0.0008)，達到統計顯著
      差異。
      另，於8項潰瘍困難癒合次族群之敏感性分析，ON101組之潰瘍完全癒合率，均
      呈現一致性顯著療效，優於對照組:
      a.足底壓力區 (30人): 完全癒合率72.2%，比較輔料對照組30.0% (P =0.031)
      b.潰瘍面積>5 cm2 (52人): 完全癒合率73.9%，比較輔料對照組37.5%
        (P =0.012)
      c.HbA1c > 7% (69人): 完全癒合率75.0%，比較輔料對照組41.9% (P =0.010)
      d.BMI≧25 (46人): 完全癒合率70.8%，比較輔料對照組37.5% (P =0.037)
      e.潰瘍持續時間≧3個月(71人): 完全癒合率63.9%，比較輔料對照組37.0%
        (P =0.035)
      f.有截肢病史(50人) : 完全癒合率76.2%，比較輔料對照組39.1% (P =0.013)
      g.血管病變 (91人): 完全癒合率81.8%，比較輔料對照組50.0% (P =0.002)
      h.神經病變 (112人): 完全癒合率74.5%，比較輔料對照組43.5% (P =0.001)
      重要次要療效指標：
      在16週的治療期內，由研究者評估目標潰瘍達到完全癒合的時間。
      ON101組於達到完全癒合的時間，優於輔料對照組 (P =0.021) ，達到統計顯著
      差異。
      探索性指標：
      評估治療期達到傷口完全癒合的受試者，在追蹤期內目標潰瘍的復發率。
      兩組復發率相當，無統計顯著差異。
      安全性評估：
      於治療期間觀察到與藥物可能相關之不良事件，ON101組有1人(1.6%)，輔料對
      照組有4人(6.8%)，兩組無統計顯著差異。其中，有2人發生與藥物可能相關之
      嚴重不良事件(SAE)，皆為輔料對照組。
   (C)單一臨床試驗結果(包含主、次要評估指標之統計學P值及統計學上是否達顯著
      意義)，並不足以充分反映未來新藥開發上市之成敗，投資人應審慎判斷謹慎
      投資。
(2)未通過目的事業主管機關許可者、各期人體臨床試驗(含期中分析)結果未達統計上
   顯著意義或發生其他影響新藥研發之重大事件者，公司所面臨之風險及因應措施：
   不適用。
(3)已通過目的事業主管機關許可者、各期人體臨床試驗(含期中分析)結果達統計上顯
   著意義或發生其他影響新藥研發之重大事件者，未來經營方向：不適用。
(4)已投入之累積研發費用：考量未來市場行銷策略，為保障公司及投資人權益，不公
   開揭露。
6.將再進行之下一階段研發(請說明預計完成時間及預計應負擔之義務):
(1)「速必一」(ON101)為中國大陸NMPA核准的第一個1.1類天然藥物新藥，核准適應症
   為治療Wagner 1級糖尿病足部傷口潰瘍 (ON101在其他48個國家地區核准適應症均
   為Wagner 1-5級)，並要求執行上市後兩階段臨床試驗 (ON101CLCT06)。試驗為雙
   盲、輔料對照、隨機分配，收納較嚴重的Wagner 2級患者，第一階段120人試驗結
   果，業經兩岸專家組成的IDMC(獨立數據監督委員會)一致同意，因ON101無安全性
   疑慮且具有顯著臨床效益，建議無須執行第二階段試驗，以第一階段結果提前終
   止試驗。
(2)因本項試驗設計嚴謹，TFDA認可為一項確證性試驗，已同意替代本公司原擬於美
   國執行的三期臨床試驗 (計畫編號: ON101CLCT04)。
(3)本試驗結果將遞交兩岸藥品法規單位，申請在大陸擴大適應症，及停止後續臨床
   試驗；同時滿足台灣上市後試驗要求，至於是否通過，將視法規單位最終審查而
   定。
(4)預計完成時間：視法規單位審查而定。
(5)預計應負擔之義務：無。
7.市場現況:
 根據統計，中國成人糖尿病患者約2.33億人，糖尿病足潰瘍患者超過1,000萬人。
 糖尿病足為糖尿病最嚴重且醫療負擔最高的慢性併發症之一，患者終身發生足部
 潰瘍風險約二至三成，其中20%面臨截肢風險，重大截肢後五年死亡率高達50%
 ，臨床存在高度未滿足醫療需求。
 糖尿病足潰瘍造成沉重的醫療與社會經濟負擔，相關治療費用約占糖尿病整體醫
 療支出的三分之一，主要來自住院治療、感染控制、清創、血管重建及截肢後長
 期照護，對患者、家庭及醫療體系均造成重大負擔。
8.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第8款所定
對股東權益或證券價格有重大影響之事項):本試驗為遵循美國FDA發佈的《慢性皮
膚潰瘍與燒傷傷口治療產品開發指南》設計的隨機、雙盲、平行組、輔料對照的
研究，試驗設計嚴謹，臨床結果IRC(獨立審評委員會)盲性評估臨床療效達一致
性，為1997年美國FDA核發唯一的治療糖尿病足潰瘍藥物上市迄今，唯一試驗達
標的產品。
9.新藥開發時程長、投入經費高且未保證一定能成功，此等可能使投資面臨風險，投
   資人應審慎判斷謹慎投資。:"
"1150803","1150802","202805","4128","中天","公告子公司中天(上海)生物科技有限公司「速必一」(ON101)
新藥上市後臨床試驗(計畫編號:ON101CLCT06) 解盲，
主要療效指標達到統計顯著，安全性良好，整體達到預期目標。","第10款","1150731","1.事實發生日:115/07/31
2.研發新藥名稱或代號:「速必一」(ON101) 香雷糖足膏
3.用途:
(1)治療糖尿病足部傷口潰瘍
(2)合格之國外機構資訊網連結網址:
https://clinicaltrials.gov/study/NCT06531512
4.預計進行之所有研發階段:滿足大陸法規單位上市後要求，並於大陸申請擴大適應症。
5.目前進行中之研發階段(請說明目前之研發階段係屬提出申請/通過核准/不通過核准
，若未通過者，請說明公司所面臨之風險及因應措施；另請說明未來經營方向及已投
入累積研發費用):
(1)提出申請／通過核准／不通過核准／各期人體臨床試驗(含期中分析)結果／發生
其他影響新藥研發之重大事件：
  (A)臨床試驗設計介紹
   a.試驗計畫名稱: 一項II/III期操作無縫設計、隨機、雙盲、平行組、
     輔料對照的研究，以評估香雷糖足膏治療糖尿病足部傷口潰瘍Wagner II級
     的有效性和安全性
   b.試驗目的: 評估用於治療Wagner II級糖尿病足部傷口潰瘍的療效
   c.試驗階段分級: II/III期臨床試驗
   d.藥品名稱: 「速必一」(ON101)香雷糖足膏
   e.宣稱適應症: 糖尿病足部傷口潰瘍
   f.評估指標:
     主要評估指標: 16週治療期內，糖尿病足部目標潰瘍達到完全
     癒合的受試者比率
   g.試驗計畫受試者收納人數: 120人
  (B)主要及次要評估指標之統計結果本試驗共納入120人「速必一」(ON101)
     組61人；輔料對照組59人。試驗分析結果顯示，ON101組之療效顯著優
     於對照組；於8項困難癒合次族群之敏感性分析，ON101組療效均顯著
     優於對照組。經評估兩組間基線資料的均衡性、缺失資料對主要療效
     的影響、不良事件發生率等結果，皆顯示ON101具有顯著臨床效益，
     安全性良好且符合預期。

     主要療效指標：
     16週治療期內，由研究者評估目標潰瘍達到完全癒合的受試者比率(ITT)。
     ON101組之完全癒合率為76.3%，輔料對照組為44.9% (P=0.0008)，
     達到統計顯著差異。
     另，於8項潰瘍困難癒合次族群之敏感性分析，ON101組之潰瘍完全癒合率，
     均呈現一致性顯著療效，優於對照組:
     a.足底壓力區 (30人): 完全癒合率72.2%，比較輔料對照組30.0%
       (P =0.031)
     b.潰瘍面積>5 cm2 (52人): 完全癒合率73.9%，比較輔料對照組37.5%
       (P =0.012)
     c.HbA1c > 7% (69人): 完全癒合率75.0%，比較輔料對照組41.9%
       (P =0.010)
     d.BMI≧25 (46人): 完全癒合率70.8%，比較輔料對照組37.5%
       (P =0.037)
     e.潰瘍持續時間≧3個月(71人): 完全癒合率63.9%，比較輔料對照組37.0%
       (P =0.035)
     f.有截肢病史(50人) : 完全癒合率76.2%，比較輔料對照組39.1%
       (P =0.013)
     g.血管病變 (91人): 完全癒合率81.8%，比較輔料對照組50.0%
       (P =0.002)
     h.神經病變 (112人): 完全癒合率74.5%，比較輔料對照組43.5%
       (P =0.001)

     重要次要療效指標：
     在16週的治療期內，由研究者評估目標潰瘍達到完全癒合的時間。
     ON101組於達到完全癒合的時間，優於輔料對照組 (P= 0.021)，
     達到統計顯著差異。

     探索性指標：
     評估治療期達到傷口完全癒合的受試者，在追蹤期內目標潰瘍的復發率。
     兩組復發率相當，無統計顯著差異。

     安全性評估：
     於治療期間觀察到與藥物可能相關之不良事件，ON101組有1人(1.6%)，輔料對
     照組有4人(6.8%)，兩組無統計顯著差異。其中，有2人發生與藥物可能相關
     之嚴重不良事件(SAE)，皆為輔料對照組。

  (C)單一臨床試驗結果(包含主、次要評估指標之統計學P值及統計學上是否達
     顯著意義)，並不足以充分反映未來新藥開發上市之成敗，投資人應審慎判斷
     謹慎投資。
(2)未通過目的事業主管機關許可者、各期人體臨床試驗(含期中分析)結果未達統計
   上顯著意義或發生其他影響新藥研發之重大事件者，公司所面臨之風險及因應措
   施：不適用。
(3)已通過目的事業主管機關許可者、各期人體臨床試驗(含期中分析)結果達統計上
   顯著意義或發生其他影響新藥研發之重大事件者，未來經營方向：不適用。
(4)已投入之累積研發費用：考量未來市場行銷策略，為保障公司及投資人權益，
   不公開揭露。
6.將再進行之下一階段研發(請說明預計完成時間及預計應負擔之義務):
(1)「速必一」(ON101)為中國大陸NMPA核准的第一個1.1類天然藥物新藥，核准適
   應症為治療Wagner 1級糖尿病足部傷口潰瘍 (ON101在其他48個國家地區核准適應
   症均為Wagner 1-5級)，並要求執行上市後兩階段臨床試驗 (ON101CLCT06)。試驗為
   雙盲、輔料對照、隨機分配，收納較嚴重的Wagner 2級患者，第一階段120人試驗
   結果，業經兩岸專家組成的IDMC(獨立數據監督委員會)一致同意，因ON101無安全
   性疑慮且具有顯著臨床效益，建議無須執行第二階段試驗，以第一階段結果提前
   終止試驗。
(2)本試驗結果將遞交大陸藥品法規單位，申請在大陸擴大適應症，及停止後續
   臨床試驗，至於是否通過，將視法規單位最終審查而定。
(3)預計完成時間：視法規單位審查而定。
(4)預計應負擔之義務：無。
7.市場現況:
 根據統計，中國成人糖尿病患者約2.33億人，糖尿病足潰瘍患者超過1,000萬人。
 糖尿病足為糖尿病最嚴重且醫療負擔最高的慢性併發症之一，患者終身發生足部
 潰瘍風險約二至三成，約其中20%面臨截肢風險，重大截肢後五年死亡率高達50%，
 臨床存在高度未滿足醫療需求。
 糖尿病足潰瘍造成沉重的醫療與社會經濟負擔，相關治療費用約占糖尿病整體醫療
 支出的三分之一，主要來自住院治療、感染控制、清創、血管重建及截肢後長期照
 護，對患者、家庭及醫療體系均造成重大負擔。
8.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第8款所定
對股東權益或證券價格有重大影響之事項):
 本試驗為遵循美國FDA發佈的《慢性皮膚潰瘍與燒傷傷口治療產品開發指南》設計的隨
 機、雙盲、平行組、輔料對照的研究，試驗設計嚴謹，臨床結果IRC(獨立審評委員會)
 盲性評估臨床療效達一致性，為1997年美國FDA核發唯一的治療糖尿病足潰瘍藥物
 上市迄今，唯一試驗達標的產品。
9.新藥開發時程長、投入經費高且未保證一定能成功，此等可能使投資面臨風險，投
   資人應審慎判斷謹慎投資。:"
